epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.074,0.57403,2.97779,1.06758,0.69695,0.32127,0.57996,0.5351,0.39942,3.07335,0.90917,0.000328502,0.000328502,0.000328502
2,1050.31,0.59163,1.99144,1.02866,0.72883,0.8031,0.79571,0.73165,0.39602,1.86997,0.89699,0.000648731,0.000648731,0.000648731
3,1556.08,0.60574,1.67029,1.03994,0.80954,0.92712,0.91217,0.83284,0.40134,1.63764,0.89357,0.00095576,0.00095576,0.00095576
4,2061.09,0.60339,1.43639,1.0308,0.81066,0.92155,0.93737,0.81237,0.51652,1.70405,0.96526,0.0009406,0.0009406,0.0009406
5,2556.78,0.57834,1.34813,1.01118,0.85584,0.93348,0.93541,0.87453,0.38194,1.44795,0.88829,0.0009208,0.0009208,0.0009208
6,3052.75,0.54982,1.19054,1.00409,0.9047,0.92041,0.93701,0.88155,0.36615,1.27664,0.87636,0.000901,0.000901,0.000901
7,3540.46,0.54366,1.17966,0.98461,0.91635,0.93004,0.95621,0.90098,0.33626,1.12272,0.86631,0.0008812,0.0008812,0.0008812
8,4035.68,0.52985,1.05643,0.99144,0.91244,0.96203,0.95872,0.91667,0.33525,0.9786,0.85642,0.0008614,0.0008614,0.0008614
9,4539.86,0.55641,1.00811,0.99269,0.94005,0.97235,0.97825,0.93439,0.33495,0.84432,0.86665,0.0008416,0.0008416,0.0008416
10,5061.97,0.51301,0.88986,0.9737,0.90815,0.92087,0.95701,0.90629,0.33538,0.89551,0.86966,0.0008218,0.0008218,0.0008218
11,5575.93,0.49289,0.8341,0.95426,0.92239,0.94498,0.95048,0.90779,0.33659,0.82138,0.87808,0.000802,0.000802,0.000802
12,6081.6,0.49238,0.81715,0.96448,0.92585,0.97425,0.96167,0.92002,0.31207,0.80053,0.85618,0.0007822,0.0007822,0.0007822
13,6582.41,0.48709,0.76403,0.96403,0.90887,0.99741,0.96361,0.92293,0.31369,0.69084,0.85074,0.0007624,0.0007624,0.0007624
14,7077.72,0.48461,0.78789,0.95975,0.90946,0.97372,0.94219,0.90584,0.31711,0.69462,0.87193,0.0007426,0.0007426,0.0007426
15,7571.55,0.47362,0.74883,0.96771,0.89616,0.97767,0.95618,0.9233,0.28824,0.683,0.84975,0.0007228,0.0007228,0.0007228
16,8090.27,0.4726,0.73975,0.95655,0.92564,0.96642,0.97508,0.93694,0.29222,0.64249,0.85223,0.000703,0.000703,0.000703
17,8593.21,0.45989,0.71078,0.95655,0.90425,0.98187,0.96945,0.92619,0.29498,0.58556,0.84906,0.0006832,0.0006832,0.0006832
18,9106.22,0.44789,0.68908,0.95178,0.9132,0.99608,0.97577,0.94503,0.27958,0.55887,0.83056,0.0006634,0.0006634,0.0006634
19,9606.96,0.46108,0.6761,0.95463,0.91274,0.99089,0.97481,0.94392,0.2809,0.52314,0.83428,0.0006436,0.0006436,0.0006436
20,10098.6,0.43999,0.5971,0.94659,0.90876,0.99475,0.97512,0.95755,0.25659,0.49951,0.83109,0.0006238,0.0006238,0.0006238
21,10586.5,0.4471,0.59619,0.94836,0.90925,0.99124,0.95504,0.93165,0.25549,0.4872,0.82201,0.000604,0.000604,0.000604
22,11073,0.4257,0.59142,0.92836,0.92594,0.99168,0.96798,0.9463,0.26452,0.47278,0.83843,0.0005842,0.0005842,0.0005842
23,11567.1,0.42377,0.57364,0.93706,0.90941,0.98105,0.96593,0.94575,0.25628,0.4881,0.83163,0.0005644,0.0005644,0.0005644
24,12055.6,0.42519,0.57708,0.94063,0.92942,0.98956,0.97552,0.95315,0.25521,0.44122,0.83103,0.0005446,0.0005446,0.0005446
25,12544.4,0.43895,0.55315,0.95059,0.92036,0.98508,0.95904,0.94146,0.25111,0.45403,0.81754,0.0005248,0.0005248,0.0005248
26,13035.3,0.41785,0.54354,0.93297,0.92116,0.99547,0.95764,0.93999,0.24082,0.42134,0.82071,0.000505,0.000505,0.000505
27,13525.8,0.39683,0.50626,0.91217,0.94532,0.98815,0.98075,0.96265,0.25743,0.41146,0.82989,0.0004852,0.0004852,0.0004852
28,14015.6,0.39756,0.49866,0.92848,0.93352,0.9655,0.97176,0.95568,0.234,0.42342,0.81844,0.0004654,0.0004654,0.0004654
29,14513.7,0.37396,0.49948,0.90546,0.92087,0.98764,0.9673,0.94564,0.24036,0.41295,0.81914,0.0004456,0.0004456,0.0004456
30,15008.1,0.38962,0.4868,0.91985,0.9368,1,0.9734,0.95321,0.26145,0.40399,0.82952,0.0004258,0.0004258,0.0004258
